guid,expression,meaning,add reverse?,kana,mnemonic,notes,tags
zkLs0X}*[8,じゅうはちにち,18th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
AsY7X_&!.k,じゅうくにち,19th (of the month),Y,,,,"Days_16-31, Genki, Japanese::Counters::日, lesson-4, Useful_Expressions"
nzaxBRX|_8,あさって,The day after tomorrow,Y,,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
kg$`Zji6@n,二週間前,Two weeks ago,Y,にしゅうかんまえ,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
Ah&t{Bf!$,今週,This week,Y,こんしゅう,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
HEs}pF-m=4,来週,Next week,Y,らいしゅう,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
fY1yz5U2<C,再来週,The week after next,Y,さらいしゅう,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
E?;iu}W-iR,二か月前,Two months ago,Y,にかげつまえ,,,"Genki, leech, lesson-4, Time_Words, Useful_Expressions"
JMN8w|oTFt,先月,Last month,Y,せんげつ,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
IX^]}&R-L>,今月,This month,Y,こんげつ,,,"Genki, Kanji_Practice, leech, lesson-5, 今_and_田"
Ai9Tp<wL;_,来月,Next month,Y,らいげつ,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
PD3*GztW<o,再来月,The month after next,Y,さらいげつ,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
z1O3h|Ncge,おととし,The year before last,Y,,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
tJHnsi@tqX,去年,Last year,Y,きょねん,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
A;fI`y>e@x,今年,this year,Y,ことし,,,"Genki, Kanji_Practice, leech, lesson-5, 今_and_田"
IykP3/0ePV,来年,Next year,Y,らいねん,,,"Genki, leech, lesson-4, Time_Words, Useful_Expressions"
E~g>OvIW)],再来年,The year after next,Y,さらいねん,,,"Genki, lesson-4, Time_Words, Useful_Expressions"
kthYxR~alb,昨日,Yesterday,Y,きのう,,,"Genki, leech, lesson-4, Time"
u^$_ps6:SR,～時間,...Hours,Y,～じかん,,,"Genki, Japanese::Counters::時間, lesson-4, Time"
CMFKNGiwn1,一時間,One hour,Y,いちじかん,,,"Genki, Japanese::Counters::時間, leech, lesson-4, Time"
2O[d5(s9o,先週,Last week,Y,せんしゅう,,,"Genki, leech, lesson-4, Time"
qOtx[V.V)f,月曜日,Monday,Y,げつようび,,,"Days, Genki, lesson-4, Time"
