guid,radical,radical number,numbers of strokes,alternative,meaning,reading,tags
CA0500>fmL,香,186,9,(None)<br>Example: 馨,Fragrant,か・こう・かおり・においこう,Japanese::Kanji::Radicals
NW]:ZOjS7t,鬼,194,10,(None)<br>Example: 魂 魁 鬽 魄,"Ghost, Demon",おに・きにょう,Japanese::Kanji::Radicals
i)E<UPzB3?,匚,22,2,(None)<br>Example: 匣,Box,はこ・はこがまえ,Japanese::Kanji::Radicals
p{+%~{~y)!,飛,183,9,(None)<br>Example: 飜 飝,Fly,とぶ,Japanese::Kanji::Radicals
EbwiylM>PA,片,91,4,(None)<br>Example: 版 牌 牒,(A) Slice,かた・かたへん,Japanese::Kanji::Radicals
"b&,3ugjb#^",豕,152,7,(None)<br>Example: 豕 豚 象,Pig,いのこ・いのこへん・ぶた,Japanese::Kanji::Radicals
"k$:w,0xx4A",臣,131,6,(None)<br>Example: 臥 宦 蔵,"Minister, Official",しん・おみ,Japanese::Kanji::Radicals
is^y*>CH`p,韋,178,9,(None)<br>Example: 韋 韓 韜,Tanned Leather,なめしがわ,Japanese::Kanji::Radicals
j$o(Fk{?93,鼻,209,14,(None)<br>Example: 鼼 鼽 鼿,Nose,はな・はなへん,Japanese::Kanji::Radicals
geCn)>(nu`,爿,90,4,丬<br>Example: 牀 奘 牃,Split Wood,しょうへん,Japanese::Kanji::Radicals
cw2C#22!-#,齒,211,15,歯<br>Example: 齡 齠 齗,"Tooth, Molar",は・はへん,Japanese::Kanji::Radicals
meL8tXYDy`,角,148,7,(None)<br>Example: 觚 解 觕 觥 觸,Horn,つの・かく・つのへん,Japanese::Kanji::Radicals
tO$hu;UuTo,齊,210,14,(None)<br>Example: 齋 齏 齏,"Even, Uniformly",さい・せい・ととのえる,Japanese::Kanji::Radicals
GM@S=Mz^RV,麥,199,11,麦<br>Example: 麴 麵 麱 麨 麺,Wheat,むぎ・むぎへん・ぼく・ばくにょう,Japanese::Kanji::Radicals
qdm?^fnMpE,皿,108,5,(None)<br>Example: 盂 盉 盍 監 蘯,Dish,さら,Japanese::Kanji::Radicals
"P)],tj7Ud-",瓜,97,5,(None)<br>Example: 呱 瓞,Melon,うり,Japanese::Kanji::Radicals
jlVYm|P1T|,革,177,9,(None)<br>Example: 靴 鞍 鞅 鞍 鞭,"Leather, Rawhide",かわ・かくのかわ・かわへん・つくりがわ,Japanese::Kanji::Radicals
t3t+Hacsvd,鹿,198,11,(None)<br>Example: 塵 麃 麋 麉 麟,Deer,しか・しかへん,Japanese::Kanji::Radicals
N$Y6`oPupA,舛,136,6,(None)<br>Example: 舛 舜 舞,Opposite,ます・まいあし,Japanese::Kanji::Radicals
m!<Nfe(?fD,骨,188,10,(None)<br>Example: 骼 髒 髀 骿 骾,Bone,ほね・ほねへん,Japanese::Kanji::Radicals
P`34hk4pGi,鼠,208,13,(None)<br>Example: 鼢 鼣 鼤,"Rat, Mouse",ねずみ・ねずみへん,Japanese::Kanji::Radicals
